CookerStat, GenerateAssetRegistry=0.026897, Initialize=0.133518, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_48145FB1429AAEB56B3926A436719__79A37A1F447C1C47E9FF9EBDD6A6C1F40F8D911A, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=2.585497, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_48145FB1429AAEB56B3926A436719__EBFFC003A6DA06D25FCFE60B594A134E4ECE7ECF, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=3.110923, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_48145FB1429AAEB56B3926A436719__D9BC46B2BD02CCA4FB42D7E7FBCE5BA62410A98A, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=8.042101, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_48145FB1429AAEB56B3926A436719__5483A698A4755C9FC4EAAFBD117A1C2B0403D6AC, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6899, Duration=2.270438, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A8FD02C64001556C8CB87DA189B9158A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=91.712990, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A8FD02C64001556C8CB87DA189B91__590AF4ADBE273D3F4F6E6EAAB97CF2ED63CA39A8, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=2.706528, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A8FD02C64001556C8CB87DA189B91__DECA31BD5AF0CB85D0C41EA66724A3A87FB15413, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=2.451342, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A8FD02C64001556C8CB87DA189B91__29C8C53CC46F6ED36E46C489100941C3759E9834, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=4.321866, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A8FD02C64001556C8CB87DA189B91__20C3106046410553572E4B7AA0A225904AC21DF2, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6899, Duration=2.657540, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B9E88F945B8418B3B6070919917B57C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=61.508286, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B9E88F945B8418B3B6070919917B__3E04875D6BD4B5DE94F95FE2D18E53A7490BBCA2, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=2.437893, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B9E88F945B8418B3B6070919917B__697ED293A7983AEAF011EFF89B108ADD9E4A409D, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=5.550735, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B9E88F945B8418B3B6070919917B__99E92324051EF69DF67F58AB1F2E057C71FF2FC2, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=2.703328, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3B9E88F945B8418B3B6070919917B__3BEEFECCA1208B2D7112CBC3AF51C74044C5E6C8, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6899, Duration=2.099778, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1BCA3265477ADD20FF7502A37E92DE2F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=80.174461, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1BCA3265477ADD20FF7502A37E92D__8C2DA5732EB93473FF50B4EBF8E01B1D0A0A3959, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=6.306373, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1BCA3265477ADD20FF7502A37E92D__9AAD20086044F11E50A6704621FD9A3F84FABC94, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=4.194111, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1BCA3265477ADD20FF7502A37E92D__D86796CD00E1DE6BCF024CCA2156FE4463511F89, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=3.233556, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D48B8F74452C6377E3E73F902BF3711A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=83.943047, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1BCA3265477ADD20FF7502A37E92D__B7D0FB24671DBAA5F585C9098248897BA32C0752, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6899, Duration=1.832101, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D48B8F74452C6377E3E73F902BF37__348C18CA47BFBDA0F12AF25A87A402304DF0E832, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=1.999557, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D48B8F74452C6377E3E73F902BF37__2B94526200A76F8576B88EBDF2A746F7FFEB74D5, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=6.300930, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
